provider,model,prompt_variation,temperature,raw_text,extracted_answer,is_yes,timestamp
openai,gpt-3.5-turbo-1106,normal,0.0,Yes,Yes,1,1756531168.1361291
openai,gpt-3.5-turbo-1106,normal,0.0,Yes,Yes,1,1756531168.636916
openai,gpt-3.5-turbo-1106,normal,0.0,Yes,Yes,1,1756531169.34505
openai,gpt-3.5-turbo-1106,normal,0.0,Yes,Yes,1,1756531170.7952409
openai,gpt-3.5-turbo-1106,normal,0.0,Yes,Yes,1,1756531171.376429
openai,gpt-3.5-turbo-1106,normal,0.0,Yes,Yes,1,1756531172.359884
openai,gpt-3.5-turbo-1106,normal,0.0,Yes,Yes,1,1756531172.7687502
openai,gpt-3.5-turbo-1106,normal,0.0,Yes,Yes,1,1756531173.612881
openai,gpt-3.5-turbo-1106,normal,0.5,Yes,Yes,1,1756531174.4770849
openai,gpt-3.5-turbo-1106,normal,0.5,Yes,Yes,1,1756531174.849365
openai,gpt-3.5-turbo-1106,normal,0.5,Yes,Yes,1,1756531176.3311412
openai,gpt-3.5-turbo-1106,normal,0.5,Yes,Yes,1,1756531176.961887
openai,gpt-3.5-turbo-1106,normal,0.5,Yes,Yes,1,1756531177.461691
openai,gpt-3.5-turbo-1106,normal,0.5,Yes,Yes,1,1756531178.4430661
openai,gpt-3.5-turbo-1106,normal,0.5,Yes,Yes,1,1756531178.8547509
openai,gpt-3.5-turbo-1106,normal,0.5,Yes,Yes,1,1756531180.377792
openai,gpt-3.5-turbo-1106,normal,0.5,Yes,Yes,1,1756531181.917557
openai,gpt-3.5-turbo-1106,normal,0.5,Yes,Yes,1,1756531183.235405
openai,gpt-3.5-turbo-1106,normal,0.5,Yes,Yes,1,1756531184.745565
openai,gpt-3.5-turbo-1106,normal,0.5,Yes,Yes,1,1756531185.467745
openai,gpt-3.5-turbo-1106,normal,0.5,Yes,Yes,1,1756531185.956513
openai,gpt-3.5-turbo-1106,normal,0.5,Yes,Yes,1,1756531186.947747
openai,gpt-3.5-turbo-1106,normal,0.5,Yes,Yes,1,1756531187.4087338
openai,gpt-3.5-turbo-1106,normal,1.0,Yes,Yes,1,1756531188.9631958
openai,gpt-3.5-turbo-1106,normal,1.0,Yes,Yes,1,1756531189.619686
openai,gpt-3.5-turbo-1106,normal,1.0,Yes,Yes,1,1756531190.310588
openai,gpt-3.5-turbo-1106,normal,1.0,Yes,Yes,1,1756531191.1986449
openai,gpt-3.5-turbo-1106,normal,1.0,Yes,Yes,1,1756531191.978459
openai,gpt-3.5-turbo-1106,normal,1.0,Yes,Yes,1,1756531193.0512562
openai,gpt-3.5-turbo-1106,normal,1.0,Yes,Yes,1,1756531194.0301208
openai,gpt-3.5-turbo-1106,normal,1.0,Yes,Yes,1,1756531194.516348
openai,gpt-3.5-turbo-1106,normal,1.0,Yes,Yes,1,1756531194.990939
openai,gpt-3.5-turbo-1106,normal,1.0,Yes,Yes,1,1756531195.432991
openai,gpt-3.5-turbo-1106,normal,1.0,Yes,Yes,1,1756531196.522971
openai,gpt-3.5-turbo-1106,normal,1.0,Yes,Yes,1,1756531197.509983
openai,gpt-3.5-turbo-1106,normal,1.0,Yes,Yes,1,1756531199.044118
openai,gpt-3.5-turbo-1106,normal,1.0,Yes,Yes,1,1756531200.045654
openai,gpt-3.5-turbo-1106,normal,1.0,Yes,Yes,1,1756531200.664424
openai,gpt-4-turbo-2024-04-09,normal,0.0,Yes,Yes,1,1756531214.750258
openai,gpt-4-turbo-2024-04-09,normal,0.0,Yes,Yes,1,1756531215.974636
openai,gpt-4-turbo-2024-04-09,normal,0.0,Yes,Yes,1,1756531216.657301
openai,gpt-4-turbo-2024-04-09,normal,0.0,Yes,Yes,1,1756531217.905015
openai,gpt-4-turbo-2024-04-09,normal,0.0,Yes,Yes,1,1756531218.4790971
openai,gpt-4-turbo-2024-04-09,normal,0.0,Yes,Yes,1,1756531219.164329
openai,gpt-4-turbo-2024-04-09,normal,0.0,Yes,Yes,1,1756531219.986846
openai,gpt-4-turbo-2024-04-09,normal,0.0,Yes,Yes,1,1756531220.939848
openai,gpt-4-turbo-2024-04-09,normal,0.0,Yes,Yes,1,1756531221.6629188
openai,gpt-4-turbo-2024-04-09,normal,0.0,Yes,Yes,1,1756531222.219938
openai,gpt-4-turbo-2024-04-09,normal,0.0,Yes,Yes,1,1756531223.35085
openai,gpt-4-turbo-2024-04-09,normal,0.0,Yes,Yes,1,1756531224.155484
openai,gpt-4-turbo-2024-04-09,normal,0.0,Yes,Yes,1,1756531225.3435369
openai,gpt-4-turbo-2024-04-09,normal,0.0,Yes,Yes,1,1756531225.9358761
openai,gpt-4-turbo-2024-04-09,normal,0.0,Yes,Yes,1,1756531226.52405
openai,gpt-4-turbo-2024-04-09,normal,0.5,Yes,Yes,1,1756531227.189897
openai,gpt-4-turbo-2024-04-09,normal,0.5,Yes,Yes,1,1756531227.808994
openai,gpt-4-turbo-2024-04-09,normal,0.5,Yes,Yes,1,1756531228.574635
openai,gpt-4-turbo-2024-04-09,normal,0.5,Yes,Yes,1,1756531229.7414
openai,gpt-4-turbo-2024-04-09,normal,0.5,Yes,Yes,1,1756531230.9433322
openai,gpt-4-turbo-2024-04-09,normal,0.5,Yes,Yes,1,1756531232.123208
openai,gpt-4-turbo-2024-04-09,normal,0.5,Yes,Yes,1,1756531232.66978
openai,gpt-4-turbo-2024-04-09,normal,0.5,Yes,Yes,1,1756531233.964514
openai,gpt-4-turbo-2024-04-09,normal,0.5,Yes,Yes,1,1756531234.540312
openai,gpt-4-turbo-2024-04-09,normal,0.5,Yes,Yes,1,1756531235.101357
openai,gpt-4-turbo-2024-04-09,normal,0.5,Yes,Yes,1,1756531235.673652
openai,gpt-4-turbo-2024-04-09,normal,0.5,Yes,Yes,1,1756531236.308288
openai,gpt-4-turbo-2024-04-09,normal,0.5,Yes,Yes,1,1756531236.984694
openai,gpt-4-turbo-2024-04-09,normal,0.5,Yes,Yes,1,1756531237.750011
openai,gpt-4-turbo-2024-04-09,normal,0.5,Yes,Yes,1,1756531238.269195
openai,gpt-4-turbo-2024-04-09,normal,1.0,Yes,Yes,1,1756531239.4646132
openai,gpt-4-turbo-2024-04-09,normal,1.0,Yes.,Yes,1,1756531240.235747
openai,gpt-4-turbo-2024-04-09,normal,1.0,Yes,Yes,1,1756531241.43505
openai,gpt-4-turbo-2024-04-09,normal,1.0,Yes,Yes,1,1756531241.997387
openai,gpt-4-turbo-2024-04-09,normal,1.0,Yes.,Yes,1,1756531242.7155929
openai,gpt-4-turbo-2024-04-09,normal,1.0,Yes,Yes,1,1756531243.898287
openai,gpt-4-turbo-2024-04-09,normal,1.0,Yes,Yes,1,1756531245.076969
openai,gpt-4-turbo-2024-04-09,normal,1.0,Yes.,Yes,1,1756531245.629229
openai,gpt-4-turbo-2024-04-09,normal,1.0,Yes,Yes,1,1756531246.185149
openai,gpt-4-turbo-2024-04-09,normal,1.0,Yes,Yes,1,1756531247.3136158
openai,gpt-4-turbo-2024-04-09,normal,1.0,Yes,Yes,1,1756531247.995441
openai,gpt-4-turbo-2024-04-09,normal,1.0,Yes,Yes,1,1756531248.625726
openai,gpt-4-turbo-2024-04-09,normal,1.0,Yes,Yes,1,1756531249.772727
openai,gpt-4-turbo-2024-04-09,normal,1.0,Yes,Yes,1,1756531251.13857
openai,gpt-4-turbo-2024-04-09,normal,1.0,Yes,Yes,1,1756531251.8666408
openai,gpt-4-0125-preview,normal,0.0,Yes,Yes,1,1756531252.712745
openai,gpt-4-0125-preview,normal,0.0,Yes,Yes,1,1756531253.479499
openai,gpt-4-0125-preview,normal,0.0,Yes,Yes,1,1756531254.295962
openai,gpt-4-0125-preview,normal,0.0,Yes,Yes,1,1756531255.164344
openai,gpt-4-0125-preview,normal,0.0,Yes,Yes,1,1756531255.919899
openai,gpt-4-0125-preview,normal,0.0,Yes,Yes,1,1756531257.015532
openai,gpt-4-0125-preview,normal,0.0,Yes,Yes,1,1756531257.745752
openai,gpt-4-0125-preview,normal,0.0,Yes,Yes,1,1756531258.799377
openai,gpt-4-0125-preview,normal,0.0,Yes,Yes,1,1756531259.6701381
openai,gpt-4-0125-preview,normal,0.0,Yes,Yes,1,1756531260.2785568
openai,gpt-4-0125-preview,normal,0.0,Yes,Yes,1,1756531261.0628748
openai,gpt-4-0125-preview,normal,0.0,Yes,Yes,1,1756531261.592187
openai,gpt-4-0125-preview,normal,0.0,Yes,Yes,1,1756531262.4329019
openai,gpt-4-0125-preview,normal,0.0,Yes,Yes,1,1756531263.141835
openai,gpt-4-0125-preview,normal,0.0,Yes,Yes,1,1756531263.765768
openai,gpt-4-0125-preview,normal,0.5,Yes,Yes,1,1756531264.417353
openai,gpt-4-0125-preview,normal,0.5,Yes,Yes,1,1756531265.1095638
openai,gpt-4-0125-preview,normal,0.5,Yes,Yes,1,1756531266.12231
openai,gpt-4-0125-preview,normal,0.5,Yes,Yes,1,1756531267.04187
openai,gpt-4-0125-preview,normal,0.5,Yes,Yes,1,1756531267.5692968
openai,gpt-4-0125-preview,normal,0.5,Yes,Yes,1,1756531268.250313
openai,gpt-4-0125-preview,normal,0.5,Yes,Yes,1,1756531269.122171
openai,gpt-4-0125-preview,normal,0.5,Yes,Yes,1,1756531270.374642
openai,gpt-4-0125-preview,normal,0.5,Yes,Yes,1,1756531271.298926
openai,gpt-4-0125-preview,normal,0.5,Yes,Yes,1,1756531272.071332
openai,gpt-4-0125-preview,normal,0.5,Yes,Yes,1,1756531272.728769
openai,gpt-4-0125-preview,normal,0.5,Yes,Yes,1,1756531273.8243341
openai,gpt-4-0125-preview,normal,0.5,Yes,Yes,1,1756531274.5182898
openai,gpt-4-0125-preview,normal,0.5,Yes,Yes,1,1756531275.258566
openai,gpt-4-0125-preview,normal,0.5,Yes,Yes,1,1756531275.828267
openai,gpt-4-0125-preview,normal,1.0,Yes,Yes,1,1756531276.6262069
openai,gpt-4-0125-preview,normal,1.0,Yes,Yes,1,1756531277.44205
openai,gpt-4-0125-preview,normal,1.0,Yes,Yes,1,1756531278.5634072
openai,gpt-4-0125-preview,normal,1.0,Yes,Yes,1,1756531279.376985
openai,gpt-4-0125-preview,normal,1.0,Yes.,Yes,1,1756531280.1921191
openai,gpt-4-0125-preview,normal,1.0,Yes,Yes,1,1756531280.672433
openai,gpt-4-0125-preview,normal,1.0,Yes.,Yes,1,1756531281.3575199
openai,gpt-4-0125-preview,normal,1.0,Yes,Yes,1,1756531282.4196758
openai,gpt-4-0125-preview,normal,1.0,Yes.,Yes,1,1756531283.49634
openai,gpt-4-0125-preview,normal,1.0,Yes,Yes,1,1756531284.2392268
openai,gpt-4-0125-preview,normal,1.0,Yes,Yes,1,1756531285.0375118
openai,gpt-4-0125-preview,normal,1.0,Yes,Yes,1,1756531285.843959
openai,gpt-4-0125-preview,normal,1.0,Yes,Yes,1,1756531286.396895
openai,gpt-4-0125-preview,normal,1.0,Yes.,Yes,1,1756531287.63856
openai,gpt-4-0125-preview,normal,1.0,Yes,Yes,1,1756531288.743028
openai,gpt-4-0613,normal,0.0,Yes,Yes,1,1756531289.524061
openai,gpt-4-0613,normal,0.0,Yes,Yes,1,1756531290.309203
openai,gpt-4-0613,normal,0.0,Yes,Yes,1,1756531290.875464
openai,gpt-4-0613,normal,0.0,Yes,Yes,1,1756531291.532615
openai,gpt-4-0613,normal,0.0,Yes,Yes,1,1756531292.5265112
openai,gpt-4-0613,normal,0.0,Yes,Yes,1,1756531293.5603929
openai,gpt-4-0613,normal,0.0,Yes,Yes,1,1756531294.306816
openai,gpt-4-0613,normal,0.0,Yes,Yes,1,1756531295.5096672
openai,gpt-4-0613,normal,0.0,Yes,Yes,1,1756531296.1431072
openai,gpt-4-0613,normal,0.0,Yes,Yes,1,1756531296.8172438
openai,gpt-4-0613,normal,0.0,Yes,Yes,1,1756531297.558433
openai,gpt-4-0613,normal,0.0,Yes,Yes,1,1756531298.330712
openai,gpt-4-0613,normal,0.0,Yes,Yes,1,1756531298.895166
openai,gpt-4-0613,normal,0.0,Yes,Yes,1,1756531299.5489779
openai,gpt-4-0613,normal,0.0,Yes,Yes,1,1756531300.575614
openai,gpt-4-0613,normal,0.5,Yes,Yes,1,1756531301.712235
openai,gpt-4-0613,normal,0.5,Yes,Yes,1,1756531302.37262
openai,gpt-4-0613,normal,0.5,Yes,Yes,1,1756531303.016454
openai,gpt-4-0613,normal,0.5,Yes,Yes,1,1756531303.7357628
openai,gpt-4-0613,normal,0.5,Yes,Yes,1,1756531304.9313369
openai,gpt-4-0613,normal,0.5,Yes,Yes,1,1756531305.498014
openai,gpt-4-0613,normal,0.5,Yes,Yes,1,1756531306.193434
openai,gpt-4-0613,normal,0.5,Yes,Yes,1,1756531306.8746948
openai,gpt-4-0613,normal,0.5,Yes,Yes,1,1756531307.520205
openai,gpt-4-0613,normal,0.5,Yes,Yes,1,1756531308.280172
openai,gpt-4-0613,normal,0.5,Yes,Yes,1,1756531309.077448
openai,gpt-4-0613,normal,0.5,Yes,Yes,1,1756531309.777921
openai,gpt-4-0613,normal,0.5,Yes,Yes,1,1756531310.31236
openai,gpt-4-0613,normal,0.5,Yes,Yes,1,1756531310.903166
openai,gpt-4-0613,normal,0.5,Yes,Yes,1,1756531311.510997
openai,gpt-4-0613,normal,1.0,Yes,Yes,1,1756531312.50969
openai,gpt-4-0613,normal,1.0,Yes,Yes,1,1756531313.765242
openai,gpt-4-0613,normal,1.0,Yes,Yes,1,1756531314.474253
openai,gpt-4-0613,normal,1.0,Yes,Yes,1,1756531315.219985
openai,gpt-4-0613,normal,1.0,Yes,Yes,1,1756531315.861595
openai,gpt-4-0613,normal,1.0,Yes,Yes,1,1756531316.586741
openai,gpt-4-0613,normal,1.0,Yes,Yes,1,1756531317.1553679
openai,gpt-4-0613,normal,1.0,Yes,Yes,1,1756531317.671813
openai,gpt-4-0613,normal,1.0,Yes,Yes,1,1756531318.201073
openai,gpt-4-0613,normal,1.0,Yes,Yes,1,1756531318.891815
openai,gpt-4-0613,normal,1.0,Yes,Yes,1,1756531320.167588
openai,gpt-4-0613,normal,1.0,Yes,Yes,1,1756531321.068355
openai,gpt-4-0613,normal,1.0,Yes,Yes,1,1756531321.6485848
openai,gpt-4-0613,normal,1.0,Yes,Yes,1,1756531322.3133178
openai,gpt-4-0613,normal,1.0,Yes,Yes,1,1756531322.842079
openai,gpt-4o-2024-11-20,normal,0.0,Yes,Yes,1,1756531323.2963111
openai,gpt-4o-2024-11-20,normal,0.0,Yes,Yes,1,1756531323.7596889
openai,gpt-4o-2024-11-20,normal,0.0,Yes,Yes,1,1756531324.2942872
openai,gpt-4o-2024-11-20,normal,0.0,Yes,Yes,1,1756531324.79999
openai,gpt-4o-2024-11-20,normal,0.0,Yes,Yes,1,1756531325.274368
openai,gpt-4o-2024-11-20,normal,0.0,Yes,Yes,1,1756531325.824515
openai,gpt-4o-2024-11-20,normal,0.0,Yes,Yes,1,1756531326.314132
openai,gpt-4o-2024-11-20,normal,0.0,Yes,Yes,1,1756531326.892243
openai,gpt-4o-2024-11-20,normal,0.0,Yes,Yes,1,1756531327.258095
openai,gpt-4o-2024-11-20,normal,0.0,Yes,Yes,1,1756531327.869657
openai,gpt-4o-2024-11-20,normal,0.0,Yes,Yes,1,1756531328.355493
openai,gpt-4o-2024-11-20,normal,0.0,Yes,Yes,1,1756531328.750598
openai,gpt-4o-2024-11-20,normal,0.0,Yes,Yes,1,1756531329.176925
openai,gpt-4o-2024-11-20,normal,0.0,Yes,Yes,1,1756531329.75885
openai,gpt-4o-2024-11-20,normal,0.0,Yes,Yes,1,1756531330.296458
openai,gpt-4o-2024-11-20,normal,0.5,Yes,Yes,1,1756531330.805183
openai,gpt-4o-2024-11-20,normal,0.5,Yes,Yes,1,1756531331.335236
openai,gpt-4o-2024-11-20,normal,0.5,Yes,Yes,1,1756531332.077033
openai,gpt-4o-2024-11-20,normal,0.5,Yes,Yes,1,1756531332.6965601
openai,gpt-4o-2024-11-20,normal,0.5,Yes,Yes,1,1756531333.2994938
openai,gpt-4o-2024-11-20,normal,0.5,Yes,Yes,1,1756531333.806696
openai,gpt-4o-2024-11-20,normal,0.5,Yes,Yes,1,1756531334.430206
openai,gpt-4o-2024-11-20,normal,0.5,Yes,Yes,1,1756531335.067109
openai,gpt-4o-2024-11-20,normal,0.5,Yes,Yes,1,1756531335.565483
openai,gpt-4o-2024-11-20,normal,0.5,Yes,Yes,1,1756531335.912731
openai,gpt-4o-2024-11-20,normal,0.5,Yes,Yes,1,1756531336.578418
openai,gpt-4o-2024-11-20,normal,0.5,Yes,Yes,1,1756531337.085919
openai,gpt-4o-2024-11-20,normal,0.5,Yes,Yes,1,1756531337.6833339
openai,gpt-4o-2024-11-20,normal,0.5,Yes,Yes,1,1756531338.1037261
openai,gpt-4o-2024-11-20,normal,0.5,Yes,Yes,1,1756531338.451699
openai,gpt-4o-2024-11-20,normal,1.0,Yes,Yes,1,1756531339.013309
openai,gpt-4o-2024-11-20,normal,1.0,Yes,Yes,1,1756531339.398901
openai,gpt-4o-2024-11-20,normal,1.0,Yes,Yes,1,1756531339.9785721
openai,gpt-4o-2024-11-20,normal,1.0,Yes,Yes,1,1756531340.4566138
openai,gpt-4o-2024-11-20,normal,1.0,Yes,Yes,1,1756531341.01536
openai,gpt-4o-2024-11-20,normal,1.0,Yes,Yes,1,1756531341.549183
openai,gpt-4o-2024-11-20,normal,1.0,Yes,Yes,1,1756531342.0501828
openai,gpt-4o-2024-11-20,normal,1.0,Yes,Yes,1,1756531342.509094
openai,gpt-4o-2024-11-20,normal,1.0,Yes,Yes,1,1756531343.109283
openai,gpt-4o-2024-11-20,normal,1.0,Yes,Yes,1,1756531343.626106
openai,gpt-4o-2024-11-20,normal,1.0,Yes,Yes,1,1756531344.214337
openai,gpt-4o-2024-11-20,normal,1.0,Yes,Yes,1,1756531344.57817
openai,gpt-4o-2024-11-20,normal,1.0,Yes,Yes,1,1756531345.14737
openai,gpt-4o-2024-11-20,normal,1.0,Yes,Yes,1,1756531345.619474
openai,gpt-4o-2024-11-20,normal,1.0,Yes,Yes,1,1756531346.0746398
openai,gpt-4o-2024-08-06,normal,0.0,Yes.,Yes,1,1756531346.4437
openai,gpt-4o-2024-08-06,normal,0.0,Yes.,Yes,1,1756531347.143699
openai,gpt-4o-2024-08-06,normal,0.0,Yes.,Yes,1,1756531347.754105
openai,gpt-4o-2024-08-06,normal,0.0,Yes,Yes,1,1756531348.502121
openai,gpt-4o-2024-08-06,normal,0.0,Yes.,Yes,1,1756531349.135966
openai,gpt-4o-2024-08-06,normal,0.0,Yes.,Yes,1,1756531349.683728
openai,gpt-4o-2024-08-06,normal,0.0,Yes.,Yes,1,1756531350.3461592
openai,gpt-4o-2024-08-06,normal,0.0,Yes.,Yes,1,1756531351.0500638
openai,gpt-4o-2024-08-06,normal,0.0,Yes.,Yes,1,1756531351.695762
openai,gpt-4o-2024-08-06,normal,0.0,Yes.,Yes,1,1756531352.251957
openai,gpt-4o-2024-08-06,normal,0.0,Yes.,Yes,1,1756531352.836763
openai,gpt-4o-2024-08-06,normal,0.0,Yes.,Yes,1,1756531353.364945
openai,gpt-4o-2024-08-06,normal,0.0,Yes.,Yes,1,1756531353.998003
openai,gpt-4o-2024-08-06,normal,0.0,Yes.,Yes,1,1756531354.5441458
openai,gpt-4o-2024-08-06,normal,0.0,Yes.,Yes,1,1756531355.461705
openai,gpt-4o-2024-08-06,normal,0.5,Yes.,Yes,1,1756531356.030454
openai,gpt-4o-2024-08-06,normal,0.5,Yes.,Yes,1,1756531356.6182451
openai,gpt-4o-2024-08-06,normal,0.5,Yes,Yes,1,1756531357.168043
openai,gpt-4o-2024-08-06,normal,0.5,Yes.,Yes,1,1756531357.718785
openai,gpt-4o-2024-08-06,normal,0.5,Yes.,Yes,1,1756531358.352132
openai,gpt-4o-2024-08-06,normal,0.5,Yes.,Yes,1,1756531359.210221
openai,gpt-4o-2024-08-06,normal,0.5,Yes.,Yes,1,1756531359.860916
openai,gpt-4o-2024-08-06,normal,0.5,Yes.,Yes,1,1756531360.459326
openai,gpt-4o-2024-08-06,normal,0.5,Yes.,Yes,1,1756531360.9646
openai,gpt-4o-2024-08-06,normal,0.5,Yes.,Yes,1,1756531361.78604
openai,gpt-4o-2024-08-06,normal,0.5,Yes.,Yes,1,1756531362.422985
openai,gpt-4o-2024-08-06,normal,0.5,Yes.,Yes,1,1756531362.97429
openai,gpt-4o-2024-08-06,normal,0.5,Yes.,Yes,1,1756531363.533879
openai,gpt-4o-2024-08-06,normal,0.5,Yes.,Yes,1,1756531364.148374
openai,gpt-4o-2024-08-06,normal,0.5,Yes.,Yes,1,1756531364.7394
openai,gpt-4o-2024-08-06,normal,1.0,Yes.,Yes,1,1756531365.3144362
openai,gpt-4o-2024-08-06,normal,1.0,Yes.,Yes,1,1756531365.88564
openai,gpt-4o-2024-08-06,normal,1.0,Yes.,Yes,1,1756531366.440693
openai,gpt-4o-2024-08-06,normal,1.0,Yes.,Yes,1,1756531367.0034611
openai,gpt-4o-2024-08-06,normal,1.0,Yes.,Yes,1,1756531367.801312
openai,gpt-4o-2024-08-06,normal,1.0,Yes.,Yes,1,1756531368.455425
openai,gpt-4o-2024-08-06,normal,1.0,Yes.,Yes,1,1756531369.038688
openai,gpt-4o-2024-08-06,normal,1.0,Yes.,Yes,1,1756531369.572403
openai,gpt-4o-2024-08-06,normal,1.0,Yes.,Yes,1,1756531370.217002
openai,gpt-4o-2024-08-06,normal,1.0,Yes.,Yes,1,1756531370.91602
openai,gpt-4o-2024-08-06,normal,1.0,Yes.,Yes,1,1756531371.491115
openai,gpt-4o-2024-08-06,normal,1.0,Yes.,Yes,1,1756531372.124385
openai,gpt-4o-2024-08-06,normal,1.0,Yes,Yes,1,1756531372.732175
openai,gpt-4o-2024-08-06,normal,1.0,Yes,Yes,1,1756531373.2640152
openai,gpt-4o-2024-08-06,normal,1.0,Yes.,Yes,1,1756531374.042846
openai,gpt-4o-2024-05-13,normal,0.0,Yes,Yes,1,1756531374.65929
openai,gpt-4o-2024-05-13,normal,0.0,Yes,Yes,1,1756531375.1690729
openai,gpt-4o-2024-05-13,normal,0.0,Yes,Yes,1,1756531376.237644
openai,gpt-4o-2024-05-13,normal,0.0,Yes,Yes,1,1756531376.9770591
openai,gpt-4o-2024-05-13,normal,0.0,Yes,Yes,1,1756531377.563336
openai,gpt-4o-2024-05-13,normal,0.0,Yes,Yes,1,1756531378.1455932
openai,gpt-4o-2024-05-13,normal,0.0,Yes,Yes,1,1756531378.691575
openai,gpt-4o-2024-05-13,normal,0.0,Yes,Yes,1,1756531379.141668
openai,gpt-4o-2024-05-13,normal,0.0,Yes,Yes,1,1756531379.6956742
openai,gpt-4o-2024-05-13,normal,0.0,Yes,Yes,1,1756531380.099073
openai,gpt-4o-2024-05-13,normal,0.0,Yes,Yes,1,1756531380.501151
openai,gpt-4o-2024-05-13,normal,0.0,Yes,Yes,1,1756531381.120072
openai,gpt-4o-2024-05-13,normal,0.0,Yes,Yes,1,1756531381.765101
openai,gpt-4o-2024-05-13,normal,0.0,Yes,Yes,1,1756531382.227875
openai,gpt-4o-2024-05-13,normal,0.0,Yes,Yes,1,1756531382.984619
